title,artist,youtubeVideoId,appleMusicTrackId,appleMusicPreviewUrl,durationSec,themes,lyrics
七月的極光,周杰倫,PJyFND4-zR4,1887246594,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/6d/78/f9/6d78f9ef-7cf7-867a-9236-52bfd9b0f679/mzaf_6960775659003963954.plus.aac.p.m4a,194,華語流行;經典必聽;KTV必唱;跨年代金曲;R&B與節奏感;熱血青春;城市夜行;通勤歌單;聚會合唱,
七里香,周杰倫,U8E3j6y__BA,536115195,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/99/4e/e2/994ee285-7c0d-73ab-85b7-8d3899a17242/mzaf_12441330510018253101.plus.aac.p.m4a,245,華語流行;經典必聽;KTV必唱;跨年代金曲;R&B與節奏感;熱血青春;城市夜行;通勤歌單;聚會合唱,（請自行填入歌詞供 LYRIC_LINE 模式使用，避免著作權疑慮，此處不預先填入）
上海 一九四三,周杰倫,0o3T6ygynQE,535739354,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/67/06/37/67063719-13d0-57f2-2e8c-bab7ec4a81c8/mzaf_1317947746414666956.plus.aac.p.m4a,197,R&B與節奏感;經典必聽,
不能說的秘密,周杰倫,uIWypArI73w,1624051288,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/4a/b9/5b/4ab95b4c-2204-eb57-d50d-49d08a9b156d/mzaf_7071041114377810492.plus.aac.p.m4a,336,華語流行;經典必聽;KTV必唱;跨年代金曲;R&B與節奏感;熱血青春;城市夜行;通勤歌單;聚會合唱,
以父之名,周杰倫,9q7JOQfcJQM,535824736,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/99/f2/8c/99f28c96-cdba-c2dd-b120-dd67eaff252b/mzaf_17363371424903979351.plus.aac.p.m4a,364,華語流行;經典必聽;KTV必唱;跨年代金曲;說唱饒舌;R&B與節奏感;熱血青春;城市夜行;通勤歌單;聚會合唱,
伊斯坦堡,周杰倫,s9wvjSkR_Ms,535791115,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/f9/00/5c/f9005cd3-c430-0a3a-3c26-307ccf4ed610/mzaf_14658243574839195153.plus.aac.p.m4a,208,R&B與節奏感,
半島鐵盒,周杰倫,duZDsG3tvoA,1485210497,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/4d/cd/80/4dcd808e-307e-d6ee-818d-0a4c4c56c025/mzaf_8169582342623269422.plus.aac.p.m4a,319,華語流行;經典必聽;KTV必唱;跨年代金曲;R&B與節奏感;熱血青春;城市夜行;通勤歌單;聚會合唱,
印地安老斑鳩,周杰倫,hnmWCmR6o7A,535791116,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/54/0f/6c/540f6c2b-9892-d239-f105-9a7933938516/mzaf_1683051786547039098.plus.aac.p.m4a,287,華語流行;經典必聽;KTV必唱;跨年代金曲;說唱饒舌;R&B與節奏感;熱血青春;城市夜行;通勤歌單;聚會合唱,
反方向的鐘,周杰倫,fuM1aVCGR8c,535791118,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/cb/c0/9b/cbc09bd3-ec4a-205d-7086-eb8bab7f25e0/mzaf_4422889114427774123.plus.aac.p.m4a,268,華語流行;經典必聽;KTV必唱;跨年代金曲;R&B與節奏感;熱血青春;城市夜行;通勤歌單;聚會合唱,
可愛女人,周杰倫,87VUC4J_0Ps,535791109,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/42/97/aa/4297aae0-c997-12df-7d10-a14685cffcc6/mzaf_7566330534609965171.plus.aac.p.m4a,239,告白甜歌;華語流行;經典必聽,
告白氣球,周杰倫,cSqlwNjq77c,1118757877,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/e5/24/59/e5245986-c2d0-a701-5bde-bbc9373da1dc/mzaf_13819014783674734406.plus.aac.p.m4a,214,華語流行;經典必聽;KTV必唱;跨年代金曲;R&B與節奏感;告白甜歌;熱血青春;城市夜行;通勤歌單;聚會合唱,（請自行填入歌詞供 LYRIC_LINE 模式使用，避免著作權疑慮，此處不預先填入）
園遊會,周杰倫,PfCD_7340jw,536115202,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/4f/c7/de/4fc7deec-01ab-7f1b-29d8-1ccba53d9301/mzaf_12599451594723341287.plus.aac.p.m4a,250,華語流行;經典必聽;KTV必唱;跨年代金曲;R&B與節奏感;告白甜歌;熱血青春;城市夜行;通勤歌單;聚會合唱,
夜曲,周杰倫,Ii46Q7i4uuk,536009642,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/49/d9/63/49d96370-e197-5629-b8bb-bdd954c1b576/mzaf_217123187122990137.plus.aac.p.m4a,227,華語流行;經典必聽;KTV必唱;跨年代金曲;R&B與節奏感;失戀療傷;深夜EMO;熱血青春;城市夜行;通勤歌單;聚會合唱,
太陽之子,周杰倫,Hgnpi3eBQ9o,535754619,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/de/ce/28/dece286c-05f1-1012-8b6f-8e6e223ada4e/mzaf_12463810760251867975.plus.aac.p.m4a,298,華語流行;經典必聽;KTV必唱;跨年代金曲;說唱饒舌;R&B與節奏感;熱血青春;城市夜行;通勤歌單;聚會合唱,
女兒殿下,周杰倫,aGsrg1NO1cM,1887247018,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/d9/ae/2c/d9ae2c09-5fea-e7a1-14e9-6ef8421888a4/mzaf_7567846761999817745.plus.aac.p.m4a,225,華語流行;經典必聽;KTV必唱;跨年代金曲;R&B與節奏感;失戀療傷;深夜EMO;熱血青春;城市夜行;通勤歌單;聚會合唱,
娘子,周杰倫,MpP9dw_j2PI,535791112,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/e2/3f/c8/e23fc820-3b4a-fb1e-be42-6650da4fed80/mzaf_11172605653974325957.plus.aac.p.m4a,272,R&B與節奏感,
